"Point","elevation","Slope","Profile Curvature","Plan Curvature","Total Curvature","General Curvature","Topographic Wetness Index_USGS","Topographic Position Index","Flow Accumulation_USGS","Stream Power Index","MRVBF","MRRTF","Direct Insolation","Diffuse Insolation","Vertical Distance to Channel Network","Overland Flow Distance","Horizontal Overland Flow Distance","Vertical Overland Flow Distance","NDVI_sept_2022","coastal_blue","blue","green_i","green","yellow","red","rededge","nir","BI_rgb_mean","BI_rgb_root","NR","NG","NB","RI","RGRI","IOI_RB","VARI","NDRE","RE_NIR","RB_norm","CB_ratio","YR_norm","GI_G_norm"
"1",99.5854110717773,1.13786900043488,0.00158515491057187,0.374581128358841,0.000440709030954167,0.01004608720541,11.8030300140381,0.787860691547394,2.25291776657104,-3.1674370765686,2.41596269607544,1.70452976226807,2.02971744537354,0.769843578338623,2.36192917823792,1066.93737792969,1066.59765625,4.06315135955811,0.651208460330963,687.683288574219,735.283813476562,1049.84423828125,1163.33154296875,1356.91687011719,1500.91137695312,1757.638671875,2634.83935546875,0.113317556679249,0.117568671703339,0.441503375768661,0.342201948165894,0.216288775205612,0.126707121729851,1.2901725769043,2.04124021530151,-0.175005301833153,0.199704736471176,0.667073667049408,0.342378050088882,0.93524968624115,-0.0503858141601086,-0.0512778013944626
"2",99.0307464599609,1.26740682125092,0.000188244084711187,0.362631380558014,0.000501739617902786,0.0153573723509908,11.3876800537109,0.340846538543701,53.9731864929199,-1162.40563964844,2.29204821586609,3.71335768699646,1.99564063549042,0.769868850708008,2.58919358253479,895.681945800781,895.656677246094,3.50845766067505,0.677283048629761,645.018920898438,797.532348632812,1086.19555664062,1208.16162109375,1529.10375976562,1710.66955566406,1930.87182617188,2776.39233398438,0.123878784477711,0.129384472966194,0.460304915904999,0.325090676546097,0.214599043130875,0.172160074114799,1.41591596603394,2.14492630958557,-0.23688580095768,0.179619982838631,0.695458233356476,0.364059031009674,0.808758199214935,-0.0560425743460655,-0.053158912807703
"3",98.3593902587891,1.56735742092133,-0.00533544924110174,0.137572735548019,0.00038828601827845,0.00187786389142275,14.093578338623,-0.0393624976277351,125.77222442627,178.628448486328,3.78467798233032,1.24191164970398,1.94444906711578,0.769845843315125,2.45455551147461,730.420593261719,730.398864746094,2.84517693519592,0.814825534820557,681.625,709.025817871094,962.993591308594,1077.69873046875,1274.61767578125,1456.40905761719,1568.35754394531,2496.97705078125,0.108104452490807,0.112328082323074,0.449071884155273,0.332299619913101,0.218622341752052,0.14944463968277,1.35139393806458,2.05406975746155,-0.20750205218792,0.228423312306404,0.628099977970123,0.345140725374222,0.961340725421906,-0.0665649697184563,-0.0562086589634418
"4",97.6448974609375,1.33243465423584,-5.13709455844946e-05,0.0797137543559074,0.000205548421945423,0.000311327137751505,15.9151306152344,-0.31162440776825,133.358139038086,40.2054672241211,4.82545757293701,0.421055167913437,2.04618000984192,0.769941031932831,2.14360952377319,519.642517089844,519.625122070312,2.16110992431641,0.758232891559601,616.119018554688,699.222534179688,991.343627929688,1136.25170898438,1389.57043457031,1621.05529785156,1771.04895019531,2652.82983398438,0.11521764844656,0.121213316917419,0.46898078918457,0.328724265098572,0.202289164066315,0.175824388861656,1.42665660381317,2.31833505630493,-0.235559448599815,0.199322566390038,0.667604923248291,0.397292405366898,0.881136059761047,-0.0768890306353569,-0.0681085363030434
"5",97.8414611816406,1.1153736114502,0.000468652986455709,0.196891665458679,0.000213974868529476,0.00482802093029022,14.6720066070557,0.277193397283554,3.35149478912354,1.5617767572403,0.835221529006958,4.95771837234497,1.95766353607178,0.769973993301392,2.62263536453247,474.598724365234,474.471130371094,2.35252499580383,0.639073669910431,693.256225585938,930.591796875,1215.03991699219,1321.13293457031,1564.81884765625,1795.62976074219,1979.36328125,2803.96997070312,0.134911820292473,0.139471381902695,0.443652987480164,0.32641726732254,0.229924812912941,0.152239784598351,1.35914874076843,1.92953610420227,-0.217043712735176,0.172391280531883,0.705912053585052,0.317301720380783,0.744954764842987,-0.068684346973896,-0.0418317690491676
"6",96.9862442016602,1.51376342773438,0.00141463114414364,0.274339914321899,0.000370313529856503,0.0150314085185528,10.2838830947876,0.439587414264679,21.5143585205078,-9.76312065124512,1.71931803226471,2.29600477218628,1.9298083782196,0.769961178302765,1.81903791427612,195.412506103516,195.395568847656,1.48080337047577,0.758216917514801,830.504943847656,947.97119140625,1244.8720703125,1403.36206054688,1581.11669921875,1731.64990234375,2011.212890625,2848.43872070312,0.136099442839622,0.13984140753746,0.424111813306808,0.34370830655098,0.232174977660179,0.104716278612614,1.23392069339752,1.82667112350464,-0.150105267763138,0.172280684113503,0.706073045730591,0.292457699775696,0.876077473163605,-0.0454401932656765,-0.0598471984267235
"7",94.2181701660156,2.21923971176147,-0.00375361321493983,-0.179870069026947,0.000540611508768052,-0.0104090981185436,17.1286201477051,-0.760814845561981,122769.8984375,382028.1875,4.94580507278442,0.184934258460999,1.99842691421509,0.769954860210419,0.0719558373093605,6.43652534484863,6.43652534484863,0.000969330198131502,0.670409977436066,616.421630859375,751.986572265625,999.365600585938,1130.66357421875,1282.58312988281,1322.93420410156,1686.01953125,2481.02954101562,0.106852814555168,0.109453774988651,0.412694156169891,0.352714627981186,0.234584957361221,0.078362412750721,1.17004084587097,1.75922906398773,-0.112992614507675,0.190784439444542,0.679561734199524,0.275164663791656,0.819713354110718,-0.0154867209494114,-0.0616411082446575
"8",94.8733596801758,1.89990520477295,0.00167037209030241,0.0538392066955566,0.000143858167575672,0.00670851673930883,17.1730709075928,-0.410102248191833,220.590942382812,682.370727539062,4.69511842727661,1.03349697589874,2.0863823890686,0.77002215385437,3.09210848808289,123.865570068359,123.865562438965,0.0183098055422306,0.781776010990143,820.626708984375,926.577697753906,1208.83520507812,1300.80541992188,1485.00415039062,1757.37939453125,1924.87658691406,2728.81713867188,0.132825419306755,0.137101218104362,0.441022664308548,0.326443254947662,0.232529044151306,0.149295255541801,1.3509829044342,1.89661419391632,-0.214191362261772,0.172752842307091,0.70538604259491,0.309542417526245,0.885643839836121,-0.0840043723583221,-0.0366466194391251
"9",96.7132263183594,2.43627429008484,0.00126967369578779,0.0744165703654289,0.000131774751935154,0.00859429314732552,10.8787412643433,0.0288306344300508,7.31101703643799,-5.94717407226562,0.924621880054474,1.01235353946686,2.10560441017151,0.769772827625275,6.9866304397583,266.898956298828,266.882965087891,1.22562730312347,0.659577429294586,750.660400390625,867.789306640625,1150.857421875,1249.47692871094,1509.92663574219,1689.466796875,1903.0361328125,2753.23681640625,0.126891106367111,0.131257370114326,0.44380784034729,0.328226417303085,0.227960497140884,0.149709701538086,1.3521283864975,1.94684040546417,-0.212435990571976,0.182592138648033,0.691197097301483,0.32131090760231,0.865016162395477,-0.0561167635023594,-0.0410855673253536
"10",100.180221557617,1.12692832946777,-0.00188339699525386,0.355600476264954,0.000455872766906396,0.00385561725124717,13.2329635620117,0.203295141458511,5.43625831604004,-2.07477045059204,1.74720132350922,4.83416414260864,2.00483322143555,0.7698073387146,1.90915250778198,1261.97521972656,1261.64111328125,4.65767955780029,0.858245611190796,741.372192382812,861.868408203125,1135.13415527344,1258.52624511719,1465.51281738281,1669.02600097656,1876.83374023438,2713.36791992188,0.126314029097557,0.130541861057281,0.440441250801086,0.332113981246948,0.227439478039742,0.14021897315979,1.32616448402405,1.93649816513062,-0.198722451925278,0.182243049144745,0.691696405410767,0.318920612335205,0.860181868076324,-0.0649258270859718,-0.0515493229031563
